model_name	task_type	dataset	setting	n_success	AUROC_mean	AUROC_sd	AUPR_mean	AUPR_sd	ACC_mean	ACC_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Brier_mean	Brier_sd	ECE_mean	ECE_sd	NLL_mean	NLL_sd	loss_mean	loss_sd	schema_note	source_root	source_file
DLST-MDA	MDA	DLST-native	strict_cold	25	0.5857500262767651	0.09272209162329408	0.5633914160641347	0.07460650247215732	0.5351260441134117	0.06735236506241338	0.29836650229424566	0.1847166825461638	0.07312062311560813	0.16347276759900567	0.34016178155446875	0.057495565960007204	0.3012506868769656	0.08277651978851197	1.0506763856624155	0.22271535839525985	1.0506763856624155	0.22271535839525985		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv
MPHGNN	MDA	native	random	25	0.949376258514875	0.0017289836699364042	0.9475615507166145	0.002108346751678989	0.877773654916512	0.005933960204431402	0.8784163108512515	0.00823690490113315	0.7569662332277136	0.010870750571435066	0.08985210491602101	0.003518472303091226	0.03391746156500256	0.015635599343212285	0.29625522419679623	0.012191635861025021			loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv
MPHGNN	MDA	native	mirna_cold	25	0.9230501543209877	0.0021249005161367894	0.9271747725156381	0.0017403602792290217	0.5495740740740741	0.04712906873468657	0.16989240958610075	0.1485794256658641	0.1970781422964402	0.12288627745999853	0.36168449973612854	0.048986762491264664	0.40705541908472215	0.04059189698726389	1.3919282514247227	0.23533446631684843			loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv
MPHGNN	MDA	native	drug_cold	25	0.6766162633639341	0.023228343441302635	0.6689492295384362	0.018029983939649198	0.5179186602870813	0.0061491475753291955	0.08762389507425553	0.024886649352390742	0.10609073249000747	0.02312699813553087	0.41898594700061864	0.014692290477511699	0.4267773796703465	0.014167490989999561	1.707375991120495	0.1441260359243619			loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv
MPHGNN	MDA	native	strict_cold	25	0.2636488568327439	0.052407875589789744	0.36501560173156383	0.016982589291560456	0.5	0.0	0.0	0.0	0.0	0.0	0.4994947354979908	0.0001607612232797081	0.49938035591730473	0.00016942202284310557	3.862451921264385	0.20443240421652933			loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv
MPHGNN	MDA	native	scaffold_cold	25	0.7622186666666666	0.01173760223571947	0.7343870676914864	0.01516829886849236	0.5259555555555555	0.006493745011919968	0.11042152202385262	0.023787245596098912	0.1439069663145517	0.021913444421357082	0.4103267706361564	0.01721438577955274	0.42444232397436343	0.015983248128023864	1.5126127111647323	0.13130977588338263			loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv
MGCNA	MDA	native	random	25	0.8658246557002778	0.02217341721698533	0.8788928806627975	0.01521802832164387	0.7967087155963302	0.012690447839531509	0.7718456504607244	0.016877801488796338	0.6081389172536312	0.02388212460177761	0.17480457512434358	0.012812668992232485	0.1533378371053572	0.013775262764658484	0.9659950783011843	0.12548089967592274	0.9659950783011843	0.12548089967592277		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	mirna_cold	25	0.7888703348483044	0.041237547708876755	0.7718111524290251	0.040425032820259874	0.5597962716110715	0.049751851306549	0.22589775429074016	0.14803438796121404	0.20460611988579935	0.10489997532960282	0.3701079969848454	0.046582393501306	0.38864925534909417	0.044299716873910856	1.6774700653596077	0.34210868709713227	1.6774700653596073	0.34210868709713227		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	drug_cold	25	0.5641530369768538	0.0656433218225346	0.5638771258063552	0.051323848695322874	0.5167692765801725	0.017666675407683265	0.1405259917207747	0.07064516288724945	0.06505541379824047	0.0554183457835891	0.4303515970186097	0.022005715835608442	0.41862616398858615	0.024279525613602283	2.7802536139963734	0.45153757365944724	2.7802536139963734	0.45153757365944724		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	strict_cold	25	0.5005164229677725	0.13989231124398066	0.5331662269634232	0.11912275778385228	0.5	0.0	0.0	0.0	0.0	0.0	0.4960989731292492	0.006463352104219293	0.49635194707669106	0.00548981247498846	3.5723631546740906	0.642027632181952	3.5723631546740906	0.642027632181952		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	scaffold_cold	25	0.5541363910931572	0.05234342598879932	0.5582117629308067	0.043722086315727084	0.5179534424646304	0.01484779516456177	0.15277055071226672	0.06549326995873532	0.06817774730075868	0.0525674895550833	0.42977438628673076	0.02004312512339903	0.41544817626408365	0.023848572701339887	2.8626000529811444	0.47933213421977827	2.8626000529811444	0.4793321342197783		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv
PLMF-MDA	MDA	MDR	drug_cold	25	0.561528741739869	0.07361279211195759	0.5739237968776111	0.06344378406286386	0.5394427928494039	0.047430403678304214	0.3489152895557421	0.11220789394201272	0.09480749356504704	0.11243721115553972	0.3701566184086068	0.04586879689404616	0.3270591341203291	0.0638828083191075	1.484153745637594	0.295906413784345	1.484153745637594	0.295906413784345		formal_runs/full_metric_rerun_20260615/plmf_standardized_repair_20260619	outputs/paper1_data_refresh_20260710/PLMF_MDA_REBUILT_FROM_FROZEN_ROOT_SUMMARY_MEAN_SD.tsv
PLMF-MDA	MDA	MDR	mirna_cold	25	0.9080692021656498	0.006273629816216103	0.8904983504867653	0.009265146837490197	0.835226836305833	0.0073773265193242165	0.8378412528172892	0.009158895768043377	0.6714579463024242	0.015041302538637792	0.12150184900941835	0.005545956765619507	0.048015743597035504	0.011632185906761267	0.4047632798018532	0.02203065251071331	0.4047632798018532	0.022030652510713313		formal_runs/full_metric_rerun_20260615/plmf_standardized_repair_20260619	outputs/paper1_data_refresh_20260710/PLMF_MDA_REBUILT_FROM_FROZEN_ROOT_SUMMARY_MEAN_SD.tsv
