model_name	task_type	dataset	setting	seed	AUROC	AUPR	ACC	F1	MCC	Brier	ECE	NLL	loss	train_loss_final	test_loss	run_status	run_dir	source_file	schema_note	upstream_source
ISG-MDA	MDA	MDR	random	20	0.9210659386840963	0.9073193707726313	0.8442698706099815	0.8518681318681318	0.6921917773813875	0.11649775940552141	0.06293592378092024	0.39846381632873723		0.24846982614124968	0.39846381561593075	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_20	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	21	0.9252424140958928	0.9071233739217495	0.8544362292051756	0.8610498456109396	0.7121063244099631	0.10752342781807572	0.04667197699626596	0.3782544812262076		0.26371082269751633	0.3782544794067217	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_21	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	22	0.9177312500640629	0.903865366113549	0.8414972273567468	0.8457040035987404	0.6840121235976825	0.11522660973456428	0.05616635069620064	0.4001638575185471		0.2766379072529032	0.40016385698054063	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_22	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	23	0.9226017404614582	0.9180531328267933	0.8364140480591498	0.845414847161572	0.6774370825833108	0.11568115258598606	0.05444854184555897	0.37535950935026086		0.2713272002589953	0.37535950756337416	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_23	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	24	0.9136615461885125	0.8866188490091308	0.8484288354898336	0.8523852385238524	0.6978610216099306	0.11424763090898686	0.04796585141683105	0.42159442196508184		0.2710879510373985	0.42159442330905117	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_24	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	mirna_cold	0	0.8994387805283381	0.8762921888636352	0.8273480662983426	0.8302399275690358	0.6550764374464216	0.12648927415686098	0.05870264363307508	0.46097713783860145		0.24822873852501026	0.4609771420283871	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_0	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	mirna_cold	1	0.8989282212932831	0.8878299029877927	0.8251845018450185	0.8242929995363931	0.650402491765322	0.13373418587016672	0.06833145693098384	0.4695662385582888		0.2619131027770588	0.4695662425562904	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_1	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	mirna_cold	2	0.9104504236658243	0.891745892971056	0.8327188940092166	0.838163174320107	0.6669490551310933	0.12157766854376706	0.06018140066058914	0.42586744159033396		0.2675142393680397	0.42586744337037963	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_2	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	mirna_cold	3	0.8990176194011797	0.8789169677001422	0.8220494053064958	0.8211494252873563	0.6441314318586003	0.13521984281945554	0.08623152595849372	0.516744581023642		0.2471211965076346	0.5167445821273469	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_3	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	mirna_cold	4	0.9041342988808426	0.8869361041771492	0.832258064516129	0.8330275229357799	0.6645443546674503	0.1258900332790432	0.06288844169801466	0.4358387589399925		0.26161021510870214	0.43583876202183386	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/mirna_cold/seed_4	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
