dataset	model_seed	candidate_pair_index	controlled_rank	global_rank	miRNA_id	drug_id	strategy	selected_atom_index	selected_atom_element	attention_score	baseline_probability	masked_probability	signed_delta	absolute_delta	contains_metal	analysis_subgroup	analysis_role	original_smiles	upstream_source
MDS	22	75988	2	2	602	7	Low	1	Pt	0.2877462208271026	0.9968650937080384	0.1205105036497116	-0.8763545900583267	0.8763545900583267	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	17	67442	2	2	1092	8	Low	1	Pt	0.3371921181678772	0.965444028377533	0.0913994908332824	-0.8740445375442505	0.8740445375442505	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	10	75988	2	2	602	7	Low	1	Pt	0.3130856156349182	0.9885767102241516	0.1238831207156181	-0.8646935895085335	0.8646935895085335	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	12	75988	2	2	602	7	Low	1	Pt	0.3165518641471863	0.9951685667037964	0.1317709982395172	-0.8633975684642792	0.8633975684642792	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	9	42884	5	5	721	8	Low	1	Pt	0.3106662631034851	0.9863242506980896	0.1279548853635788	-0.8583693653345108	0.8583693653345108	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	10	39931	1	1	395	7	Low	1	Pt	0.3130856156349182	0.9889274835586548	0.1386851221323013	-0.8502423614263535	0.8502423614263535	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	10	67442	2	2	1092	8	Low	1	Pt	0.3215872347354889	0.9949775338172911	0.1488619297742843	-0.8461156040430069	0.8461156040430069	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	17	42884	5	5	721	8	Low	1	Pt	0.3371921181678772	0.9660658836364746	0.1342268735170364	-0.8318390101194382	0.8318390101194382	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	15	75988	2	2	602	7	Low	1	Pt	0.3106687664985657	0.9921522736549376	0.1610868424177169	-0.8310654312372208	0.8310654312372208	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	7	67442	2	2	1092	8	Low	1	Pt	0.3186224102973938	0.989639163017273	0.1671807169914245	-0.8224584460258484	0.8224584460258484	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	15	89169	3	3	20	7	Low	1	Pt	0.3106687664985657	0.9939020872116088	0.1998393833637237	-0.7940627038478851	0.7940627038478851	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	15	39931	1	1	395	7	Low	1	Pt	0.3106687664985657	0.9931136965751648	0.1998079568147659	-0.7933057397603989	0.7933057397603989	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	12	89169	3	3	20	7	Low	1	Pt	0.3165518641471863	0.997231900691986	0.2095544338226318	-0.7876774668693542	0.7876774668693542	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	9	42506	3	3	265	8	Low	1	Pt	0.3106662631034851	0.9946501851081848	0.2088605910539627	-0.7857895940542221	0.7857895940542221	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	11	75988	2	2	602	7	Low	1	Pt	0.2862505316734314	0.9850643277168274	0.2004313766956329	-0.7846329510211945	0.7846329510211945	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	8	42506	3	3	265	8	Low	1	Pt	0.2815340757369995	0.9751161336898804	0.197156548500061	-0.7779595851898193	0.7779595851898193	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	11	89169	3	3	20	7	Low	1	Pt	0.2862505316734314	0.987138330936432	0.2366975098848343	-0.7504408210515976	0.7504408210515976	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	12	39931	1	1	395	7	Low	1	Pt	0.3165518641471863	0.9969193935394288	0.2468584030866623	-0.7500609904527664	0.7500609904527664	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	17	42506	3	3	265	8	Low	1	Pt	0.3371921181678772	0.9745981693267822	0.2248425185680389	-0.7497556507587433	0.7497556507587433	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	8	42884	5	5	721	8	Low	1	Pt	0.2815340757369995	0.9806270003318788	0.2407069951295852	-0.7399200052022934	0.7399200052022934	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
