model_name	setting	bin_index	bin_lower	bin_upper	n_predictions	mean_predicted_probability	observed_positive_fraction	absolute_calibration_gap	upstream_source	notes
MPHGNN	random	6	0.6	0.7	1955	0.6513741882560808	0.668542199488491	0.017168011232410185	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	7	0.7	0.8	2547	0.7531068666242458	0.7385159010600707	0.014590965564175051	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	8	0.8	0.9	4135	0.8561775386549686	0.8340991535671101	0.022078385087858532	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	9	0.9	1.0	17060	0.9712827280810122	0.9500586166471278	0.021224111433884474	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	0	0.0	0.1	18250	0.027745692518158588	0.4351232876712329	0.40737759515307426	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	1	0.1	0.2	2302	0.13755651219035106	0.7406602953953084	0.6031037832049574	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	2	0.2	0.3	675	0.24535210492434326	0.7807407407407407	0.5353886358163975	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	3	0.3	0.4	338	0.34439943713196636	0.757396449704142	0.41299701257217564	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	4	0.4	0.5	191	0.4467231606313695	0.8219895287958116	0.37526636816444203	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	5	0.5	0.6	129	0.5456845917442973	0.9612403100775194	0.41555571833322213	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	6	0.6	0.7	146	0.6487926428448664	0.952054794520548	0.3032621516756816	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	7	0.7	0.8	195	0.750621471955226	0.9076923076923077	0.1570708357370817	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	8	0.8	0.9	184	0.8494434913863307	0.8315217391304348	0.017921752255895873	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	scaffold_cold	9	0.9	1.0	90	0.9271283408006032	0.7888888888888889	0.13823945191171438	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	strict_cold	0	0.0	0.1	16900	0.0006196440826951559	0.5	0.49938035591730484	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
