n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
353	123	230	0.34844192634560905	0.5013785790031814	0.34434788897212376	-0.006283457360175254	MDR	drug_cold	17	Medium	7	0.5063884537176279	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1612	826	786	0.5124069478908189	0.42503650444522484	0.49014673823376437	-0.04565325441116012	MDR	drug_cold	17	Low	25	0.1966091622190478	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
104	8	96	0.07692307692307693	0.8958333333333334	0.5234741177281499	0.483763627538829	MDR	drug_cold	18	High	2	0.7940307756691939	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
838	488	350	0.5823389021479713	0.450152224824356	0.5979133172354072	0.03728959955220353	MDR	drug_cold	18	Medium	7	0.6049642596814625	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1346	648	698	0.4814264487369985	0.4404471329017652	0.42915255955264403	-0.10080323043286699	MDR	drug_cold	18	Low	13	0.20246547523048802	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
861	526	335	0.610917537746806	0.6186028034731286	0.658914318336383	0.12335888981380838	MDR	drug_cold	19	High	3	0.7747454858216287	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
879	590	289	0.6712172923777019	0.5927922116004927	0.7563369839266945	0.2588934563029912	MDR	drug_cold	19	Medium	3	0.5735901186413133	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1254	381	873	0.3038277511961722	0.4893073932768713	0.28985232778851033	-0.02007466317664148	MDR	drug_cold	19	Low	8	0.2333352878264825	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
197	123	74	0.6243654822335025	0.7212700505383433	0.8176708691993518	0.5146102869225988	MDR	drug_cold	20	High	1	0.8305084745762716	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
953	490	463	0.5141657922350472	0.48098911270771805	0.5285434623137852	0.02959377880137654	MDR	drug_cold	20	Medium	6	0.5469329632152381	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1464	694	770	0.47404371584699456	0.3500860810659081	0.3844487530738926	-0.17034678636340428	MDR	drug_cold	20	Low	9	0.13953070056254224	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
736	484	252	0.657608695652174	0.861037321264594	0.9092574832237266	0.7349742367169156	MDR	drug_cold	21	High	3	0.9153985507246377	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
639	301	338	0.47104851330203446	0.3946263932847117	0.4127828788155736	-0.11015307821552812	MDR	drug_cold	21	Medium	4	0.5035538782218184	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
