Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.01	94	9307	49	190	0.0284394342433946	0.0060729177059075	0.0319148936170212	0.007091436553132	4.500483558994197	0.0293941211757648	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.05	466	9307	49	190	0.0284394342433946	0.0060729177059075	0.1656958362974009	0.1462989120118008	1.132584200517058	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.05	466	9307	49	190	0.0284394342433946	0.0060729177059075	0.2060085836909871	0.1602019984957559	1.2859301733145654	0.002999400119976	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.05	466	9307	49	190	0.0284394342433946	0.0060729177059075	0.0493562231759656	0.0234232298270119	2.107148482104185	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.05	466	9307	49	190	0.0284394342433946	0.0060729177059075	0.0171673819742489	0.007091436553132	2.420860970217193	0.0191961607678464	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.1	931	9307	49	190	0.0284394342433946	0.0060729177059075	0.1661791838610992	0.1462989120118008	1.1358880361850865	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.1	931	9307	49	190	0.0284394342433946	0.0060729177059075	0.2137486573576799	0.1602019984957559	1.3342446371750012	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.1	931	9307	49	190	0.0284394342433946	0.0060729177059075	0.0429645542427497	0.0234232298270119	1.834271129987485	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.1	931	9307	49	190	0.0284394342433946	0.0060729177059075	0.0128893662728249	0.007091436553132	1.81759593789669	0.0295940811837632	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.01	101	10094	51	198	0.0186808134986989	0.0605493337611856	0.1728593831689467	0.1454008000944035	1.188847537680091	0.0051989602079584	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
