dataset	subgroup	comparison	candidate_seed_pairs	candidate_count	unique_drug_count	seed_count	mean_paired_difference	median_paired_difference	left_greater_rate	seed_positive_rate	mean_seed_median_difference	seed_median_bootstrap_ci_low	seed_median_bootstrap_ci_high	seed_level_wilcoxon_p	inference_status	seed_level_wilcoxon_p_holm	drug_level_wilcoxon_p	drug_level_wilcoxon_p_holm	drug_seed_positive_rate	mean_drug_seed_median_difference	upstream_source
MDR	metal	High_vs_Random	144	6	2	24	0.00297235283586714	0.00020435452461238266	0.5416666666666666	0.625	0.0029094715913136823	0.0010684158653020866	0.005746694343785445	0.0013967480890075116	DESCRIPTIVE_ONLY_LT5_DRUGS	0.0019252300262451172	0.03148162364959717	0.03148162364959717	0.625	0.0029723528358671404	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDR	metal	Low_vs_Random	144	6	2	24	0.22255049747440758	0.08410802483558655	0.8194444444444444	1.0	0.20711089627972493	0.14571733243453008	0.27176968252946	1.1920928955078125e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.22255049747440758	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	all	High_vs_Low	1200	50	18	24	-0.031450488674454394	0.001111626625061017	0.6325	1.0	0.0023528710007667424	0.0010910740122198899	0.004302711784839618	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.0024107419368293403	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	all	High_vs_Middle	1200	50	18	24	0.010266682033737498	0.0014758110046387	0.7233333333333334	0.9583333333333334	0.002634989718596122	0.0012662022685010987	0.004695886280387609	2.9802322387695312e-06	CONFIRMATORY	5.9604644775390625e-06	8.344650268554688e-07	2.5033950805664062e-06	0.9583333333333334	0.0028650183230638396	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	all	High_vs_Random	1200	50	18	24	0.008199649477998413	0.00093933939933775	0.6383333333333333	1.0	0.00200877587000528	0.0009750852671762181	0.0035420349799096446	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	0.002245783805847168	0.002245783805847168	0.7083333333333334	0.0011037834402587573	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	all	Low_vs_Random	1200	50	18	24	0.03965013815245281	4.339218139644785e-05	0.5141666666666667	0.5	0.00010056172808011225	-3.275113801159623e-05	0.00025476785376667117	0.4389305114746094	CONFIRMATORY	0.4389305114746094	0.001092672348022461	0.002185344696044922	0.16666666666666666	-0.0004731989983055254	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	non_metal	High_vs_Low	1056	44	16	24	0.011383831105900532	0.0019340813159942165	0.7026515151515151	1.0	0.0033480376005172743	0.0018209960932532964	0.0055147556898494645	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.003541986354523225	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	non_metal	High_vs_Middle	1056	44	16	24	0.013087434665949053	0.0020007789134978927	0.7301136363636364	0.9583333333333334	0.0030326098203658923	0.0014744750224053639	0.005313163312772891	5.125999450683594e-06	CONFIRMATORY	1.0251998901367188e-05	2.9802322387695312e-06	8.940696716308594e-06	0.9583333333333334	0.003343485088811973	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	non_metal	High_vs_Random	1056	44	16	24	0.00999249492517926	0.00134527683258055	0.6638257575757576	1.0	0.0027363138894239917	0.001356931310147033	0.004820434500773731	1.1920928955078125e-07	CONFIRMATORY	4.76837158203125e-07	0.008714795112609863	0.008714795112609863	0.5833333333333334	0.0017795204702350798	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	non_metal	Low_vs_Random	1056	44	16	24	-0.0013913361807212695	-9.307265281673771e-05	0.4640151515151515	0.3333333333333333	-0.0001473228136698318	-0.0003128210082649993	2.3356763025134146e-05	0.08392000198364258	CONFIRMATORY	0.08392000198364258	5.125999450683594e-06	1.0251998901367188e-05	0.08333333333333333	-0.0008797022617525493	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	metal	High_vs_Low	144	6	2	24	-0.3455688337303905	-0.20109686255455017	0.11805555555555555	0.0	-0.3345488394455363	-0.4403017101770577	-0.22866308165830565	1.1920928955078125e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	4.76837158203125e-07	1.1920928955078125e-07	4.76837158203125e-07	0.0	-0.34556883373039055	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	metal	High_vs_Middle	144	6	2	24	-0.010418837269147243	0.00018495321273803887	0.6736111111111112	0.75	-0.009891789406538015	-0.028945715911686435	0.0021789948455989373	0.128027081489563	DESCRIPTIVE_ONLY_LT5_DRUGS	0.128027081489563	0.10109639167785645	0.2021927833557129	0.7916666666666666	-0.010418837269147245	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	metal	High_vs_Random	144	6	2	24	-0.004947883801327819	0.0	0.4513888888888889	0.5416666666666666	0.0009729924301306379	0.00022158063948154972	0.001992551765094193	0.031103769479907197	DESCRIPTIVE_ONLY_LT5_DRUGS	0.062207538959814394	0.3165123462677002	0.3165123462677002	0.625	-0.004947883801327819	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
MDS	metal	Low_vs_Random	144	6	2	24	0.34062094992906267	0.20158958435058588	0.8819444444444444	0.9583333333333334	0.3367671591695398	0.23318765144019077	0.441961149238826	2.384185791015625e-07	DESCRIPTIVE_ONLY_LT5_DRUGS	7.152557373046875e-07	1.1920928955078125e-07	4.76837158203125e-07	1.0	0.3406209499290627	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv
